format	1
reviewed_module	status	owners	imports_or_reason
NumStability.Analysis.LinearOperators.MatrixPowers.Laszlo.NearestNormal	declaration_bearing	NumStability.Analysis.MatrixPowersLaszlo	26
NumStability.Analysis.LinearOperators.MatrixPowers.LpBounds.ComplexDiagonal	declaration_bearing	NumStability.Algorithms.MatrixPowersLp	14
NumStability.Analysis.LinearOperators.MatrixPowers.LpBounds.ComplexJordan	declaration_bearing	NumStability.Algorithms.MatrixPowersLpJordan	7
NumStability.Analysis.LinearOperators.MatrixPowers.LpBounds.PrimaryEquation05	omitted_projection_pinned	NumStability.Analysis.MatrixPowersLp185Primary	no facade dependency or fabricated API permitted
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.Closure	omitted_projection_pinned	NumStability.Analysis.MatrixPowersSpijkerClosure	no facade dependency or fabricated API permitted
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	declaration_bearing	NumStability.Analysis.MatrixPowersKreissSpijker	20
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarAlgebra	declaration_bearing	NumStability.Analysis.MatrixPowersSpijkerPlanar	29
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarAnalysis	declaration_bearing	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	12
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ProjectionIntegral	declaration_bearing	NumStability.Analysis.SpijkerProjectionIntegral	3
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.Rational	declaration_bearing	NumStability.Analysis.MatrixPowersSpijkerRational	26
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.General	omitted_projection_pinned	NumStability.Analysis.BergerGeneral	no facade dependency or fabricated API permitted
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.Hermitian	declaration_bearing	NumStability.Analysis.BergerInequality	5
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.PowerTwo	declaration_bearing	NumStability.Analysis.BergerResolvent	4
NumStability.Analysis.LinearOperators.NumericalRadius.Core.Basic	declaration_bearing	NumStability.Analysis.NumericalRadius	14
NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.ConvergenceCriterion	declaration_bearing	NumStability.Algorithms.MatrixPowersPseudospectralCriterion	4
NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.Definitions	declaration_bearing	NumStability.Algorithms.MatrixPowersPseudospectral	5
NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.LowerBounds	declaration_bearing	NumStability.Analysis.PseudospectralLowerBound	14
NumStability.Analysis.LinearOperators.Pseudospectra.PowerBounds.Contour	declaration_bearing	NumStability.Analysis.PseudospectralPowerBound	14
NumStability.Analysis.LinearOperators.Pseudospectra.Resolvent.LowerBounds	declaration_bearing	NumStability.Analysis.PseudospectralResolvent	5
NumStability.Analysis.LinearOperators.Schur.Real.Triangularization.SplitCharpoly	declaration_bearing	NumStability.Analysis.RealSchurTriangulation	18
NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity	declaration_bearing	NumStability.Analysis.LiebTrace	370
NumStability.Source.Higham.Chapter16.Problem02.LyapunovIntegral.Results	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Problem16_2	8
NumStability.Source.Higham.Chapter16.Section01.SylvesterEquation.ComplexSolvability.SchurFactors	declaration_bearing	NumStability.Analysis.SylvesterSchurExistence	3
NumStability.Source.Higham.Chapter16.Section01.SylvesterEquation.ComplexSolvability.SpectralCriterion	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Spectrum	7
NumStability.Source.Higham.Chapter16.Section01.SylvesterEquation.ComplexSolvability.Vectorized	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16VecNorm	79
NumStability.Source.Higham.Chapter16.Section01.SylvesterEquation.VectorizationNotes.Notes	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16VecPermutationNotes	1
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equation09.Assembly	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Eq9Assembly	16
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equation09.EndToEnd	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Eq9EndToEnd	8
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.HessenbergRounded	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16HessenbergRounded	8
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.HessenbergSchur	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16HessenbergSchur	8
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.PivotedSmallBlocks	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16PivotedSmallBlocks	4
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.QuasiQuasiRounded	source_locator	NumStability.Algorithms.Sylvester.Higham16QuasiQuasiRounded	NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.SmallSystemRounding
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.QuasiQuasiSylvester	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16QuasiQuasiSylvester	12
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.QuasiRoundedSolve	omitted_projection_pinned	NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSolve	no facade dependency or fabricated API permitted
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.QuasiRoundedSylvester	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSylvester	12
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.RoundedExecutor	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16RoundedExecutor	6
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.RoundedTriangular	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16RoundedTriangular	6
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.Spectrum	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Spectrum	38
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.Vectorized	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16VecNorm	12
NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.AttainedMinima.Equations15And21	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Minimizers	5
NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.AttainedSeparation.Equation26	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Minimizers	4
NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.AutomaticBounds.Equations23To28	omitted_projection_pinned	NumStability.Algorithms.Sylvester.Higham16AutoCondition	no facade dependency or fabricated API permitted
NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.SigmaMinCorollaries.Lyapunov	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16LyapunovSigmaMin	17
NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.SigmaMinCorollaries.StructuredSylvester	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16PsiSigmaMin	4
NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.SigmaMinCorollaries.SylvesterPerturbation	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16PerturbationSigmaMin	20
NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.SigmaMinCorollaries.Vectorized	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16VecNorm	106
NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.Equation29Extensions.Minimizers	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Minimizers	130
NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.Equation29Extensions.SpectralMinimizers	omitted_projection_pinned	NumStability.Algorithms.Sylvester.Higham16SpectrumMinimizers	no facade dependency or fabricated API permitted
NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.Equation29Extensions.Spectrum	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Spectrum	11
NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.Equation29Extensions.Vectorized	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16VecNorm	48
NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.NormEstimator.Equation29	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16NormEstimator	2
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.Equation05Primary	declaration_bearing	NumStability.Analysis.MatrixPowersLp185Primary	2
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.LpDiagonal	declaration_bearing	NumStability.Algorithms.MatrixPowersLp	2
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.LpJordan	declaration_bearing	NumStability.Algorithms.MatrixPowersLpJordan	1
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.RealDiagonal	declaration_bearing	NumStability.Algorithms.MatrixPowers	2
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.RealJordan	declaration_bearing	NumStability.Algorithms.MatrixPowersJordan	1
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.BaiDemmelGu	declaration_bearing	NumStability.Analysis.MatrixPowersBaiDemmelGu	3
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.BaiDemmelGuDistance	source_locator	NumStability.Analysis.MatrixPowersBaiDemmelGuDistance	NumStability.Analysis.LinearOperators.MatrixPowers.BaiDemmelGu.DistanceToInstability
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.BergerGeneral	omitted_projection_pinned	NumStability.Analysis.BergerGeneral	no facade dependency or fabricated API permitted
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.BergerHermitian	source_locator	NumStability.Analysis.BergerInequality	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.Hermitian
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.BergerResolvent	omitted_projection_pinned	NumStability.Analysis.BergerResolvent	no facade dependency or fabricated API permitted
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.Gautschi	declaration_bearing	NumStability.Analysis.MatrixPowersGautschi	2
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.HenriciBinomialBound	omitted_projection_pinned	NumStability.Analysis.MatrixPowersBinomialBound	no facade dependency or fabricated API permitted
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.HenriciDeparture	source_locator	NumStability.Analysis.MatrixPowersHenrici	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.DepartureFromNormality
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.HenriciExtremal	source_locator	NumStability.Analysis.HenriciExtremal	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.Extremal
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.HenriciImprovedConstant	source_locator	NumStability.Analysis.HenriciSharpConstant	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.ImprovedConstant
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.HenriciNormal	omitted_projection_pinned	NumStability.Analysis.MatrixPowersHenriciNormal	no facade dependency or fabricated API permitted
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.HenriciSharpConstant	source_locator	NumStability.Analysis.HenriciSharpConstantExact	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SharpConstant
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.Kreiss	declaration_bearing	NumStability.Analysis.MatrixPowersKreiss	2
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.Laszlo	declaration_bearing	NumStability.Analysis.MatrixPowersLaszlo	1
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.NormalPowers	omitted_projection_pinned	NumStability.Analysis.MatrixPowersSchur	no facade dependency or fabricated API permitted
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.NumericalRadius	source_locator	NumStability.Analysis.NumericalRadius	NumStability.Analysis.LinearOperators.NumericalRadius.Core.Basic
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerClosure	omitted_projection_pinned	NumStability.Analysis.MatrixPowersSpijkerClosure	no facade dependency or fabricated API permitted
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerKreiss	declaration_bearing	NumStability.Analysis.MatrixPowersKreissSpijker	2
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerPlanar	omitted_projection_pinned	NumStability.Analysis.MatrixPowersSpijkerPlanar	no facade dependency or fabricated API permitted
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerPlanarAnalysis	omitted_projection_pinned	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	no facade dependency or fabricated API permitted
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerProjectionIntegral	source_locator	NumStability.Analysis.SpijkerProjectionIntegral	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ProjectionIntegral
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerRational	source_locator	NumStability.Analysis.MatrixPowersSpijkerRational	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.Rational
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.ComplexSimilarity	declaration_bearing	NumStability.Algorithms.MatrixPowersComplex	2
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.ComputedIteration	declaration_bearing	NumStability.Algorithms.MatrixPowers	10
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.DunfordResidue	source_locator	NumStability.Analysis.DunfordResidue	NumStability.Analysis.FunctionalCalculus.Resolvent.DunfordResidue
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.PowerBound	declaration_bearing	NumStability.Analysis.PseudospectralPowerBound	2
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.PseudospectralLowerBound	source_locator	NumStability.Analysis.PseudospectralLowerBound	NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.LowerBounds
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.PseudospectralRadius	source_locator	NumStability.Algorithms.MatrixPowersPseudospectral	NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.Definitions
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.ResolventCalculus	source_locator	NumStability.Analysis.ResolventFunctionalCalculus	NumStability.Analysis.FunctionalCalculus.Resolvent.Analyticity
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.ResolventLowerBound	source_locator	NumStability.Analysis.PseudospectralResolvent	NumStability.Analysis.LinearOperators.Pseudospectra.Resolvent.LowerBounds
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.ComplexJordan	declaration_bearing	NumStability.Algorithms.MatrixPowersComplex	2
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion	declaration_bearing	NumStability.Algorithms.MatrixPowersPseudospectralCriterion	2
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralPackaging	declaration_bearing	NumStability.Algorithms.MatrixPowersPseudospectral	2
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.RealCases	declaration_bearing	NumStability.Algorithms.MatrixPowers	5
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.RealJordan	declaration_bearing	NumStability.Algorithms.MatrixPowersJordan	2
NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.SpectralCriterion	declaration_bearing	NumStability.Algorithms.MatrixPowersSpectral	3
