module	path	blob_oid	sha256	downstream_test
NumStability.Source.Higham.Chapter21.Equation05.UnderdeterminedSolve	NumStability/Source/Higham/Chapter21/Equation05/UnderdeterminedSolve.lean	7fbc87f92dd3f2698ffaae04c213b71c3471ed44	F76EAE98AAC55A1F04A74517082534BF36ACCFFD6139D74CCE91511052C14272	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation05_UnderdeterminedSolve.lean
NumStability.Source.Higham.Chapter21.Equation06.Perturbation	NumStability/Source/Higham/Chapter21/Equation06/Perturbation.lean	8c20f53697808bd38fe14a5cf6c3f10f440454be	AD4A4472D0EBF5780DBEF89A8CD4601161913BB1B60600CECCED7D9FD4C22FE1	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation06_Perturbation.lean
NumStability.Source.Higham.Chapter21.Equation07.ConditionTransfer	NumStability/Source/Higham/Chapter21/Equation07/ConditionTransfer.lean	0e2b7b1e03dfeff5ac124e89082f1afd427b1916	F7B6DA263876992CE52721F107B6EA4962B0403BCA83B52CA595658ACA978CAC	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation07_ConditionTransfer.lean
NumStability.Source.Higham.Chapter21.Equation07.UnderdeterminedSolve	NumStability/Source/Higham/Chapter21/Equation07/UnderdeterminedSolve.lean	0508dd659682d5267fe8f921865f3ecd09552b7f	6C7843746D42E96E3F0AA6F6AE3FBFF7206952C776D3172A6C93B108A681AAD0	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation07_UnderdeterminedSolve.lean
NumStability.Source.Higham.Chapter21.Equation08.EquationClosure	NumStability/Source/Higham/Chapter21/Equation08/EquationClosure.lean	da81a04554eef45cc9ffeeda79047c878bbd3126	B7061704C83E852F326BFD1FAB1EC5F4F5926415162E97DAC55C2969A032A38F	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation08_EquationClosure.lean
NumStability.Source.Higham.Chapter21.Equation08.ProjectorNorm	NumStability/Source/Higham/Chapter21/Equation08/ProjectorNorm.lean	8209d4ef9175b09ea1b320c9e4b94be2488c88f3	E6BBAFD1D30795F1C146E8ED761DC0D300D5C22F581D16604CD483B28D0B7A74	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation08_ProjectorNorm.lean
NumStability.Source.Higham.Chapter21.Equation09.EquationClosure	NumStability/Source/Higham/Chapter21/Equation09/EquationClosure.lean	722a15835a98793d03231bb6a20ce94e5dfd151c	B3B5E9BE62C8AC4B09C942A19ADD4E6DAEC7B9D57128C9998B527113B2712CF7	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation09_EquationClosure.lean
NumStability.Source.Higham.Chapter21.Equation09.ProjectorNorm	NumStability/Source/Higham/Chapter21/Equation09/ProjectorNorm.lean	0a6d96894fe1723be39534bac5beda91c70be460	F7BE959BD8A2D23D9FC1256375B3C2CC73F66198C2D8BC1199FD7F86687AA147	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation09_ProjectorNorm.lean
NumStability.Source.Higham.Chapter21.Equation10.UnderdeterminedSolve	NumStability/Source/Higham/Chapter21/Equation10/UnderdeterminedSolve.lean	a34149b92515786b1d6271420902f1c2f009a5dd	288ED49DB8DCD06E96AC2BE54D942CB4E66288651B23CFB4DF8C639327DFB217	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation10_UnderdeterminedSolve.lean
NumStability.Source.Higham.Chapter21.Equation11.ActualOutput	NumStability/Source/Higham/Chapter21/Equation11/ActualOutput.lean	34b833564aac7cb9091f01533843e7ab70ab47f2	CB6DCE5CAD0BB2817C7B3B3D1B1628B563FF31DE98312FECB7774889CD7185FB	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation11_ActualOutput.lean
NumStability.Source.Higham.Chapter21.Equation11.Closure	NumStability/Source/Higham/Chapter21/Equation11/Closure.lean	445b510774565803fc47e3972deea656b07f1056	FAC3BB0F97BEBD9CFBF3C5F5385265B096CB88375DC7375DD67330649556C073	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation11_Closure.lean
NumStability.Source.Higham.Chapter21.Equation11.Equation	NumStability/Source/Higham/Chapter21/Equation11/Equation.lean	ea62754e2ee914c4784795aa675629d30ed38f46	564B306DF26ABE66FF76743A2EAF33AD9196D496BA08534CF6242F640A10185D	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation11_Equation.lean
NumStability.Source.Higham.Chapter21.Equation11.Forward	NumStability/Source/Higham/Chapter21/Equation11/Forward.lean	10de577b484e8b0355ba73044c59edb25e92cdbe	4F39FD39A214316AC1C4E24A0E301F4B1FB16C66053F660124CE1B9EF85752FB	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation11_Forward.lean
NumStability.Source.Higham.Chapter21.Equation11.RemainderBounds	NumStability/Source/Higham/Chapter21/Equation11/RemainderBounds.lean	6e4e74bdb07657edf5636809fbe2b67a52c326df	ACBAA80013DD09422E8AA21949F4F62D3DB196A1E7C4B9C3AF55A647AEFDC687	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation11_RemainderBounds.lean
NumStability.Source.Higham.Chapter21.Equation11.Scalar	NumStability/Source/Higham/Chapter21/Equation11/Scalar.lean	ced7f837205e4dc1813412ffe2c6491e4749793e	CA9EB0B8C2A51019AC9C2A3F26FBD4676BE63DACF7B5AA3EDEFB555840BB2EC8	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation11_Scalar.lean
NumStability.Source.Higham.Chapter21.Equation11.UnderdeterminedSolve	NumStability/Source/Higham/Chapter21/Equation11/UnderdeterminedSolve.lean	fbef240fcb6c8c0b08d7006718daddac6fb3062b	57790579242B0168F4551FA905345C22A05FA2EEA2B0C561BBC2B926385CF757	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation11_UnderdeterminedSolve.lean
NumStability.Source.Higham.Chapter21.Equation11.Uniform	NumStability/Source/Higham/Chapter21/Equation11/Uniform.lean	a66c808ac8cf2d9388504b92d28c3d71d474f0bd	980A06525C406B86FEF602BFFB409CF9ED5EF9F9DF1C2E698E8DBF98E70870E9	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation11_Uniform.lean
NumStability.Source.Higham.Chapter21.Equation11.UniformClosure	NumStability/Source/Higham/Chapter21/Equation11/UniformClosure.lean	070128c76b5bae83be882cbbf912daa5049680d2	492835D50E5255E70B147CBD3D7B1F289E3CD7A2F3CF7846998699635C978E04	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation11_UniformClosure.lean
NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	NumStability/Source/Higham/Chapter21/Lemma02/Symmetrization/UnderdeterminedSolve.lean	065f588e4b3a73788f9f4b4332958b81b9c85610	AA3A212C299C8720C057DA410FD05BF1B9EBD06C77D29B9CC92909036346EA3D	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Lemma02_Symmetrization_UnderdeterminedSolve.lean
NumStability.Source.Higham.Chapter21.Section03.MethodComparison.Core	NumStability/Source/Higham/Chapter21/Section03/MethodComparison/Core.lean	c302aa9a661ab8c59d0f1010967860b024022dc3	4C794C0DA3DEDB5EED97694220A9B0385133876FADED01CB6E03226B33C9EAB2	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Section03_MethodComparison_Core.lean
NumStability.Source.Higham.Chapter21.Theorem01.Attainability.Attainability	NumStability/Source/Higham/Chapter21/Theorem01/Attainability/Attainability.lean	741d94da8a6c0b4a8ecd0b66fd1ac302092e66b0	ADA4EA21C0C67CE2DA7AFE0D1D6A9F1FDC236956D2538869004B131144AC7928	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem01_Attainability_Attainability.lean
NumStability.Source.Higham.Chapter21.Theorem01.ComponentwisePerturbation.Radius	NumStability/Source/Higham/Chapter21/Theorem01/ComponentwisePerturbation/Radius.lean	b1a8e9605c8b29cf160a8539c102558a23e083b3	57D0CC2E6ADAD340B84553AC1153FDE3578D42463C11CF4F2C96B86E183B989E	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem01_ComponentwisePerturbation_Radius.lean
NumStability.Source.Higham.Chapter21.Theorem01.ComponentwisePerturbation.RankStability	NumStability/Source/Higham/Chapter21/Theorem01/ComponentwisePerturbation/RankStability.lean	c4fa457f20b377107e0d44e69c08e494893011a9	7C5B279DA198AB7AE7FA23BA5CA208B7F79DFB2F594C59DC1D469C78EF5E5663	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem01_ComponentwisePerturbation_RankStability.lean
NumStability.Source.Higham.Chapter21.Theorem03.NormwiseBackwardError.UnderdeterminedSolve	NumStability/Source/Higham/Chapter21/Theorem03/NormwiseBackwardError/UnderdeterminedSolve.lean	8cf7811e76c70bf8490c0bdf0da2907f8d704842	089A0B5FA8F9D0CF29F2C6823006409BC6639810E0D9F533A4075875C9CB3E77	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem03_NormwiseBackwardError_UnderdeterminedSolve.lean
NumStability.Source.Higham.Chapter21.Theorem04.GivensQMethod.Closure	NumStability/Source/Higham/Chapter21/Theorem04/GivensQMethod/Closure.lean	de3161950740faa3deb3948ee1c96fa7b2a6dd60	759899679A83F713203B7D10AA5A2D36DE17A3395F08BE9EEC34CF522471FCF9	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_GivensQMethod_Closure.lean
NumStability.Source.Higham.Chapter21.Theorem04.GivensQMethod.Core	NumStability/Source/Higham/Chapter21/Theorem04/GivensQMethod/Core.lean	22ea9b4d44567cd1f6097d4c23f2b7ff052cd2f9	89B0CA7663236E82951BD68DAFF4B998537A31F20907A60E0222B0F42DC31ED7	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_GivensQMethod_Core.lean
NumStability.Source.Higham.Chapter21.Theorem04.GivensQMethod.RoundedReplay	NumStability/Source/Higham/Chapter21/Theorem04/GivensQMethod/RoundedReplay.lean	1236f32fc326788e993191d2bebab052d5c1a4de	7B3E11580A3F049ED5A54CF4F70397B3D5113B7A23E5FDC1A44D6B3ACE8BCF4B	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_GivensQMethod_RoundedReplay.lean
NumStability.Source.Higham.Chapter21.Theorem04.HouseholderQMethod.UnderdeterminedSolve	NumStability/Source/Higham/Chapter21/Theorem04/HouseholderQMethod/UnderdeterminedSolve.lean	b2a2407db55558dfa2ea0fe80f43527f97507521	D99AC7475D4E8C8997D2277E0DECB8FA4D0D12C5054BBAA83F935997F971B70F	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_HouseholderQMethod_UnderdeterminedSolve.lean
NumStability.Source.Higham.Chapter21.Theorem04.ModifiedGramSchmidtQMethod.Core	NumStability/Source/Higham/Chapter21/Theorem04/ModifiedGramSchmidtQMethod/Core.lean	b5eb1cf6263334042f16d69fcb76296d3772188d	AB16CE1B4ADB959504D2EA974FF7B2FAE9D955B266DE51417ED3590CE5F62C94	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_ModifiedGramSchmidtQMethod_Core.lean
NumStability.Source.Higham.Chapter21.Theorem04.ModifiedGramSchmidtQMethod.RoundedReplay	NumStability/Source/Higham/Chapter21/Theorem04/ModifiedGramSchmidtQMethod/RoundedReplay.lean	516604a3c01ba664ba200ff81eb07ea0f3db2c0e	F5E4C0BD801AD6C0E416AFCAF197486B70652B4BA9121B2102DC1EEE468EB084	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_ModifiedGramSchmidtQMethod_RoundedReplay.lean
NumStability.Source.Higham.Chapter21.Theorem04.SeminormalEquations.ActualOutput	NumStability/Source/Higham/Chapter21/Theorem04/SeminormalEquations/ActualOutput.lean	ba53dd0102ee69a6da027c87a78f3706b794c2cc	7F94AA0E5F7442E440D6E7C80B6F23038FD362435CB7E8BA26C5936881B14949	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_SeminormalEquations_ActualOutput.lean
NumStability.Source.Higham.Chapter21.Theorem04.SeminormalEquations.Closure	NumStability/Source/Higham/Chapter21/Theorem04/SeminormalEquations/Closure.lean	accac85233a66033e436ca374733d01a49ccddb9	B3E71593DD6352B6189B5B32D14263783AA8237AD811714B0D6ACA0BFBB75A56	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_SeminormalEquations_Closure.lean
NumStability.Source.Higham.Chapter21.Theorem04.SeminormalEquations.EnvelopeTransfer	NumStability/Source/Higham/Chapter21/Theorem04/SeminormalEquations/EnvelopeTransfer.lean	938e650df2e0b74e1d3ae0e6c6a3b78675f653cd	1CD03DE11447405BB55400C45FEC29AB3B3083AD8CE633BA6AE8B30CA2696461	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_SeminormalEquations_EnvelopeTransfer.lean
NumStability.Source.Higham.Chapter21.Theorem04.SeminormalEquations.Forward	NumStability/Source/Higham/Chapter21/Theorem04/SeminormalEquations/Forward.lean	a92537aa88165d8bb9bb4530f93ffe1330389fbd	32E46B69C2191FD31CCD3CFA163334708761366B1637742AF7F0766D15A358F7	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_SeminormalEquations_Forward.lean
NumStability.Source.Higham.Chapter21.Theorem04.SeminormalEquations.QRMajorant	NumStability/Source/Higham/Chapter21/Theorem04/SeminormalEquations/QRMajorant.lean	f3aa0020d4e3c8f33a6f566cb8bc064d13c03ffc	03CDDFD044C4378AF7BDE97A7C376C9DDFAFC8AC3FAB8A8E262BB617ED6793E1	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_SeminormalEquations_QRMajorant.lean
NumStability.Source.Higham.Chapter21.Theorem04.SeminormalEquations.RemainderBounds	NumStability/Source/Higham/Chapter21/Theorem04/SeminormalEquations/RemainderBounds.lean	4674a5e86a5a55c11cd03d627fc4514386cf1e72	53B06F7E492AC641857F23D008088A28517DA2AC293645958BA4E01DE9823409	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_SeminormalEquations_RemainderBounds.lean
NumStability.Source.Higham.Chapter21.Theorem04.SeminormalEquations.Signed	NumStability/Source/Higham/Chapter21/Theorem04/SeminormalEquations/Signed.lean	59fa99118fe21a128b7ba7ae50248f2247454332	913FEBA9373D32B2E7F6279F28E4DB82D22D83686A4D311040F7B75C7BDD9C9A	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_SeminormalEquations_Signed.lean
NumStability.Source.Higham.Chapter21.Theorem04.SeminormalEquations.Uniform	NumStability/Source/Higham/Chapter21/Theorem04/SeminormalEquations/Uniform.lean	1dfea06daf609d623f4ac2d813a4a0c14cf5c299	EE1D6CF62DEA87FE8EFCAF2598B589F3A5BB5E627D3D478DA7BF3231C02322E5	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_SeminormalEquations_Uniform.lean
NumStability.Source.Higham.Chapter21.Theorem04.SourceClosure.SourceClosure	NumStability/Source/Higham/Chapter21/Theorem04/SourceClosure/SourceClosure.lean	b1028540bf9a54fcb4d61a6164dd0e957afa16b0	C95AB33F153FCAC11548833D873CAC4CB0E61FB144864051AA6471207A8AA3D7	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Theorem04_SourceClosure_SourceClosure.lean
