module	path	exclusion_owner	rationale
NumStability.Algorithms.MatrixPowersSpectral	NumStability/Algorithms/MatrixPowersSpectral.lean	preserved-ch18	preserved earlier Chapter 18 work; integrator audits before reuse
NumStability.Algorithms.QR.GivensMatrixStep	NumStability/Algorithms/QR/GivensMatrixStep.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.GivensQR	NumStability/Algorithms/QR/GivensQR.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.GivensSpec	NumStability/Algorithms/QR/GivensSpec.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.GramSchmidt	NumStability/Algorithms/QR/GramSchmidt.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.GramSchmidtPolar	NumStability/Algorithms/QR/GramSchmidtPolar.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19	NumStability/Algorithms/QR/Higham19.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Alg11CGSRounded	NumStability/Algorithms/QR/Higham19Alg11CGSRounded.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Alg12MGSClosure	NumStability/Algorithms/QR/Higham19Alg12MGSClosure.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Alg12MGSNonbreakdown	NumStability/Algorithms/QR/Higham19Alg12MGSNonbreakdown.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Alg12MGSPaddedClosure	NumStability/Algorithms/QR/Higham19Alg12MGSPaddedClosure.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Alg12MGSRepair	NumStability/Algorithms/QR/Higham19Alg12MGSRepair.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Alg12MGSRounded	NumStability/Algorithms/QR/Higham19Alg12MGSRounded.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Alg12MGSSourceRate	NumStability/Algorithms/QR/Higham19Alg12MGSSourceRate.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19FormedQ	NumStability/Algorithms/QR/Higham19FormedQ.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Labels	NumStability/Algorithms/QR/Higham19Labels.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Lemma3ActualSequence	NumStability/Algorithms/QR/Higham19Lemma3ActualSequence.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Lemma7Gamma4	NumStability/Algorithms/QR/Higham19Lemma7Gamma4.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	NumStability/Algorithms/QR/Higham19Lemma9DisjointSweep.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19PolarNearest	NumStability/Algorithms/QR/Higham19PolarNearest.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Problem19_10	NumStability/Algorithms/QR/Higham19Problem19_10.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Problem19_9	NumStability/Algorithms/QR/Higham19Problem19_9.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Problem6ActualStep	NumStability/Algorithms/QR/Higham19Problem6ActualStep.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Sensitivity	NumStability/Algorithms/QR/Higham19Sensitivity.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19SensitivityClosure	NumStability/Algorithms/QR/Higham19SensitivityClosure.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19StoredLoop	NumStability/Algorithms/QR/Higham19StoredLoop.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19StoredLoopAllPivots	NumStability/Algorithms/QR/Higham19StoredLoopAllPivots.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19StoredLoopStrongModel	NumStability/Algorithms/QR/Higham19StoredLoopStrongModel.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19SunBischof	NumStability/Algorithms/QR/Higham19SunBischof.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Theorem10ActualMatrix	NumStability/Algorithms/QR/Higham19Theorem10ActualMatrix.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Theorem5Nonbreakdown	NumStability/Algorithms/QR/Higham19Theorem5Nonbreakdown.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Theorem5SourceClosure	NumStability/Algorithms/QR/Higham19Theorem5SourceClosure.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Theorem6ActualSource	NumStability/Algorithms/QR/Higham19Theorem6ActualSource.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6ColPivot	NumStability/Algorithms/QR/Higham19Thm6ColPivot.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6ColPivotFull	NumStability/Algorithms/QR/Higham19Thm6ColPivotFull.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6CoxHigham	NumStability/Algorithms/QR/Higham19Thm6CoxHigham.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6CoxHighamAssembly	NumStability/Algorithms/QR/Higham19Thm6CoxHighamAssembly.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6CoxHighamConcrete	NumStability/Algorithms/QR/Higham19Thm6CoxHighamConcrete.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6CoxHighamFull	NumStability/Algorithms/QR/Higham19Thm6CoxHighamFull.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6Elementwise	NumStability/Algorithms/QR/Higham19Thm6Elementwise.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6ElementwiseEntry	NumStability/Algorithms/QR/Higham19Thm6ElementwiseEntry.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6ElementwisePackaged	NumStability/Algorithms/QR/Higham19Thm6ElementwisePackaged.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6Final	NumStability/Algorithms/QR/Higham19Thm6Final.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6Pivoted	NumStability/Algorithms/QR/Higham19Thm6Pivoted.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6RowSpecific	NumStability/Algorithms/QR/Higham19Thm6RowSpecific.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19Thm6StrongModel	NumStability/Algorithms/QR/Higham19Thm6StrongModel.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19TurnbullAitken	NumStability/Algorithms/QR/Higham19TurnbullAitken.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.Higham19WYApplicationClosure	NumStability/Algorithms/QR/Higham19WYApplicationClosure.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.HouseholderApply	NumStability/Algorithms/QR/HouseholderApply.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.HouseholderApplySupport	NumStability/Algorithms/QR/HouseholderApplySupport.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.HouseholderConstruction2	NumStability/Algorithms/QR/HouseholderConstruction2.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.HouseholderMatrixStep	NumStability/Algorithms/QR/HouseholderMatrixStep.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.HouseholderOneStep	NumStability/Algorithms/QR/HouseholderOneStep.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.HouseholderQApply	NumStability/Algorithms/QR/HouseholderQApply.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.HouseholderQR	NumStability/Algorithms/QR/HouseholderQR.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.HouseholderQRSupport	NumStability/Algorithms/QR/HouseholderQRSupport.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.HouseholderReflector	NumStability/Algorithms/QR/HouseholderReflector.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.HouseholderSpec	NumStability/Algorithms/QR/HouseholderSpec.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.HouseholderSpecSupport	NumStability/Algorithms/QR/HouseholderSpecSupport.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.QR.QRSolve	NumStability/Algorithms/QR/QRSolve.lean	qr-ch19	active remote QR/Chapter 19 implementation lane
NumStability.Algorithms.Sylvester.Higham16	NumStability/Algorithms/Sylvester/Higham16.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16AutoCondition	NumStability/Algorithms/Sylvester/Higham16AutoCondition.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16Eq9Assembly	NumStability/Algorithms/Sylvester/Higham16Eq9Assembly.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16Eq9EndToEnd	NumStability/Algorithms/Sylvester/Higham16Eq9EndToEnd.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16HessenbergRounded	NumStability/Algorithms/Sylvester/Higham16HessenbergRounded.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16HessenbergSchur	NumStability/Algorithms/Sylvester/Higham16HessenbergSchur.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16Lyapunov	NumStability/Algorithms/Sylvester/Higham16Lyapunov.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16LyapunovSigmaMin	NumStability/Algorithms/Sylvester/Higham16LyapunovSigmaMin.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16Minimizers	NumStability/Algorithms/Sylvester/Higham16Minimizers.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16NormEstimator	NumStability/Algorithms/Sylvester/Higham16NormEstimator.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16PerturbationSigmaMin	NumStability/Algorithms/Sylvester/Higham16PerturbationSigmaMin.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16PivotedSmallBlocks	NumStability/Algorithms/Sylvester/Higham16PivotedSmallBlocks.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16Problem16_2	NumStability/Algorithms/Sylvester/Higham16Problem16_2.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16Psi	NumStability/Algorithms/Sylvester/Higham16Psi.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16PsiSigmaMin	NumStability/Algorithms/Sylvester/Higham16PsiSigmaMin.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16QuasiQuasiRounded	NumStability/Algorithms/Sylvester/Higham16QuasiQuasiRounded.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16QuasiQuasiSylvester	NumStability/Algorithms/Sylvester/Higham16QuasiQuasiSylvester.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSolve	NumStability/Algorithms/Sylvester/Higham16QuasiRoundedSolve.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSylvester	NumStability/Algorithms/Sylvester/Higham16QuasiRoundedSylvester.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16RoundedExecutor	NumStability/Algorithms/Sylvester/Higham16RoundedExecutor.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16RoundedTriangular	NumStability/Algorithms/Sylvester/Higham16RoundedTriangular.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16Spectrum	NumStability/Algorithms/Sylvester/Higham16Spectrum.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16SpectrumMinimizers	NumStability/Algorithms/Sylvester/Higham16SpectrumMinimizers.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16VecNorm	NumStability/Algorithms/Sylvester/Higham16VecNorm.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.Higham16VecPermutationNotes	NumStability/Algorithms/Sylvester/Higham16VecPermutationNotes.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.SylvesterBackward	NumStability/Algorithms/Sylvester/SylvesterBackward.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.SylvesterPerturbation	NumStability/Algorithms/Sylvester/SylvesterPerturbation.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Sylvester.SylvesterSpec	NumStability/Algorithms/Sylvester/SylvesterSpec.lean	preserved-ch16	preserved earlier Chapter 16 work; integrator audits before reuse
NumStability.Algorithms.Underdetermined.Higham21	NumStability/Algorithms/Underdetermined/Higham21.lean	preserved-ch21	preserved earlier Chapter 21 work; integrator audits before reuse
NumStability.Algorithms.Underdetermined.Higham21Attainability	NumStability/Algorithms/Underdetermined/Higham21Attainability.lean	preserved-ch21	preserved earlier Chapter 21 work; integrator audits before reuse
NumStability.Algorithms.Underdetermined.Higham21Eq21_11Uniform	NumStability/Algorithms/Underdetermined/Higham21Eq21_11Uniform.lean	preserved-ch21	preserved earlier Chapter 21 work; integrator audits before reuse
NumStability.Algorithms.Underdetermined.Higham21Eq21_8	NumStability/Algorithms/Underdetermined/Higham21Eq21_8.lean	preserved-ch21	preserved earlier Chapter 21 work; integrator audits before reuse
NumStability.Algorithms.Underdetermined.Higham21Eq21_9	NumStability/Algorithms/Underdetermined/Higham21Eq21_9.lean	preserved-ch21	preserved earlier Chapter 21 work; integrator audits before reuse
NumStability.Algorithms.Underdetermined.Higham21Equation21_11	NumStability/Algorithms/Underdetermined/Higham21Equation21_11.lean	preserved-ch21	preserved earlier Chapter 21 work; integrator audits before reuse
NumStability.Algorithms.Underdetermined.Higham21Equation21_11Scalar	NumStability/Algorithms/Underdetermined/Higham21Equation21_11Scalar.lean	preserved-ch21	preserved earlier Chapter 21 work; integrator audits before reuse
NumStability.Algorithms.Underdetermined.Higham21Givens	NumStability/Algorithms/Underdetermined/Higham21Givens.lean	preserved-ch21	preserved earlier Chapter 21 work; integrator audits before reuse
NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability/Algorithms/Underdetermined/Higham21GivensClosure.lean	preserved-ch21	preserved earlier Chapter 21 work; integrator audits before reuse
NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability/Algorithms/Underdetermined/Higham21GivensRounded.lean	preserved-ch21	preserved earlier Chapter 21 work; integrator audits before reuse
