declaration	visibility	historical_owner	reason
_private.NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure.0.NumStability.Ch14Ext.ch14ext_gjeInvStageMatrix_upper_triangular	private	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	private root
_private.NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure.0.NumStability.Ch14Ext.ch14ext_gje_Pabs_le	private	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	private root
_private.NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure.0.NumStability.Ch14Ext.ch14ext_gje_Q_abs_le	private	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	private root
_private.NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure.0.NumStability.Ch14Ext.ch14ext_matMul_diag_one_of_unit_upper	private	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	private root
_private.NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure.0.NumStability.Ch14Ext.ch14ext_matMul_upper_triangular	private	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	private root
_private.NumStability.Algorithms.Ch14Method1BWhole.0.NumStability.Ch14Ext.ch14ext_m1b_castAdd_eq_iff	private	NumStability.Algorithms.Ch14Method1BWhole	private root
_private.NumStability.Algorithms.Ch14Method1BWhole.0.NumStability.Ch14Ext.ch14ext_m1b_castAdd_ne_natAdd	private	NumStability.Algorithms.Ch14Method1BWhole	private root
_private.NumStability.Algorithms.Ch14Method1BWhole.0.NumStability.Ch14Ext.ch14ext_m1b_natAdd_eq_iff	private	NumStability.Algorithms.Ch14Method1BWhole	private root
_private.NumStability.Algorithms.Ch14Method2C.0.NumStability.Ch14Ext.ch14ext_castAdd_eq_iff	private	NumStability.Algorithms.Ch14Method2C	private root
_private.NumStability.Algorithms.Ch14Method2C.0.NumStability.Ch14Ext.ch14ext_castAdd_ne_natAdd	private	NumStability.Algorithms.Ch14Method2C	private root
_private.NumStability.Algorithms.Ch14Method2C.0.NumStability.Ch14Ext.ch14ext_natAdd_eq_iff	private	NumStability.Algorithms.Ch14Method2C	private root
_private.NumStability.Algorithms.Ch14Problem142.0.NumStability.Ch14Ext.higham14_problem14_2_castAdd_ne_natAdd	private	NumStability.Algorithms.Ch14Problem142	private root
_private.NumStability.Algorithms.Ch14Problem142.0.NumStability.Ch14Ext.higham14_problem14_2_natAdd_ne_castAdd	private	NumStability.Algorithms.Ch14Problem142	private root
_private.NumStability.Algorithms.MatrixInversion.0.NumStability.higham14_problem14_12_det_stressUpper_one	private	NumStability.Algorithms.MatrixInversion	private root
_private.NumStability.Algorithms.MatrixInversion.0.NumStability.higham14_problem14_12_peiMatrix_eq_smul_one_add_rankOne	private	NumStability.Algorithms.MatrixInversion	private root
_private.NumStability.Algorithms.MatrixInversion.0.NumStability.higham14_problem14_12_prod_fin_nat_sub_eq_factorial	private	NumStability.Algorithms.MatrixInversion	private root
_private.NumStability.Algorithms.MatrixInversion.0.NumStability.higham14_problem14_12_prod_nat_sub_eq_factorial	private	NumStability.Algorithms.MatrixInversion	private root
_private.NumStability.Algorithms.MatrixInversion.0.NumStability.higham14_problem14_12_prod_rowNorm2_stressUpper_one	private	NumStability.Algorithms.MatrixInversion	private root
_private.NumStability.Algorithms.MatrixInversion.0.NumStability.higham14_problem14_12_rowNorm2_sq_stressUpper_one	private	NumStability.Algorithms.MatrixInversion	private root
_private.NumStability.Algorithms.MatrixInversion.0.NumStability.higham14_problem14_12_rowNorm2_stressUpper_one	private	NumStability.Algorithms.MatrixInversion	private root
_private.NumStability.Algorithms.MatrixInversion.0.NumStability.higham14_problem14_12_stressUpper_one_upper	private	NumStability.Algorithms.MatrixInversion	private root
_private.NumStability.Algorithms.MatrixInversion.0.NumStability.higham14_problem14_12_sum_tail_one	private	NumStability.Algorithms.MatrixInversion	private root
