module	declaration	kind	visibility	destination	disposition
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BlockLDLTSpec.L_upper_zero	theorem	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BlockLDLTSpec.casesOn	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BlockLDLTSpec.mk	constructor	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BlockLDLTSpec.perm	theorem	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BlockLDLTSpec.product_eq	theorem	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BlockLDLTSpec.rec	recursor	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BlockLDLTSpec.recOn	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase	inductive	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.case1	constructor	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.case1.elim	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.case1.sizeOf_spec	theorem	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.case2	constructor	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.case2.elim	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.case2.sizeOf_spec	theorem	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.case3	constructor	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.case3.elim	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.case3.sizeOf_spec	theorem	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.case4	constructor	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.case4.elim	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.case4.sizeOf_spec	theorem	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.casesOn	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.ctorElim	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.ctorElimType	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.ctorIdx	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.noAction	constructor	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.noAction.elim	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.noAction.sizeOf_spec	theorem	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.noConfusion	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.noConfusionType	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.ofNat	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.ofNat_ctorIdx	theorem	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.rec	recursor	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.recOn	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanCase.toCtorIdx	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchKaufmanPartialPivotCase	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchParlettCompletePivotChoice	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.BunchTridiagonalPivotChoice	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.Pivoting.Tridiagonal	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyBackwardError	inductive	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyBackwardError.R_upper	theorem	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyBackwardError.backward_bound	theorem	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyBackwardError.casesOn	definition	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyBackwardError.mk	constructor	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyBackwardError.rec	recursor	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyBackwardError.recOn	definition	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyFactSpec	inductive	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyFactSpec.R_diag_pos	theorem	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyFactSpec.R_upper	theorem	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyFactSpec.casesOn	definition	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyFactSpec.mk	constructor	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyFactSpec.product_eq	theorem	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyFactSpec.rec	recursor	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.CholeskyFactSpec.recOn	definition	public	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.FlAllOneSymmetricPivots	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.Pivoting.Basic	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.FlStoredAllOnePivots	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.Pivoting.Basic	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput	inductive	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.backwardError	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.casesOn	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.ctorIdx	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.gram	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.mk	constructor	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.mk.inj	theorem	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.mk.injEq	theorem	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.mk.noConfusion	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.mk.sizeOf_spec	theorem	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.noConfusion	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.noConfusionType	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.pivot	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.rec	recursor	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.recOn	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.row	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.stages	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CompletePivotedPSDOutput.trailing	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate	inductive	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.backwardEquation	theorem	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.backwardError_componentwise	theorem	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.backwardError_normwise	theorem	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.casesOn	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.computedTrailing_componentwise	theorem	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.computedTrailing_normwise	theorem	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.exactTrailing_componentwise	theorem	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.factorResidual_componentwise	theorem	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.factorResidual_normwise	theorem	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.mk	constructor	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.rec	recursor	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.recOn	definition	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Higham10CpActualCertificate.stages_le	theorem	public	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualRun	relocated
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Higham10KahanSharpnessSourceCertificate	inductive	public	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.GramFamily	relocated
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Higham10KahanSharpnessSourceCertificate.casesOn	definition	public	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.GramFamily	relocated
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Higham10KahanSharpnessSourceCertificate.complete_pivot_tail	theorem	public	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.GramFamily	relocated
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Higham10KahanSharpnessSourceCertificate.factor	theorem	public	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.GramFamily	relocated
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Higham10KahanSharpnessSourceCertificate.mk	constructor	public	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.GramFamily	relocated
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Higham10KahanSharpnessSourceCertificate.of_theta	theorem	public	NumStability.Algorithms.Ch10KahanSharpnessSource	retained
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Higham10KahanSharpnessSourceCertificate.rank_eq	theorem	public	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.GramFamily	relocated
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Higham10KahanSharpnessSourceCertificate.rec	recursor	public	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.GramFamily	relocated
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Higham10KahanSharpnessSourceCertificate.recOn	definition	public	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.GramFamily	relocated
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Higham10KahanSharpnessSourceCertificate.w_eq_A11_inv_A12	theorem	public	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.GramFamily	relocated
NumStability.Algorithms.Ch10Lemma1011Source	NumStability.Higham10_11NoTies	definition	public	NumStability.Source.Higham.Chapter10.Lemma11.PivotSequenceStability.SourceClosure	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.IsBlockDiag	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.Predicates	relocated
NumStability.Algorithms.Cholesky.CholeskyNonsym	NumStability.IsNonsymPosDef	definition	public	NumStability.Algorithms.LinearSystems.LU.NonsymmetricPositiveDefinite.Basic	relocated
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.IsPosSemiDef	definition	public	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.Basic	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.IsSkewBlockDiag	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.Predicates	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.IsSkewSymmetric	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.Predicates	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.IsSymTridiagonal	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.Predicates	relocated
NumStability.Algorithms.Ch10Ch14Lemma66Op2Bridge	NumStability.Lemma66Op2Bridge.lemma66c_absMatrix_op2_le_sqrt_card	theorem	public	NumStability.Source.Higham.Chapter06.Lemma06.OperatorTwoNormBound.Bridge	relocated
NumStability.Algorithms.Ch10Ch14Lemma66Op2Bridge	NumStability.Lemma66Op2Bridge.lemma66c_ch10_absFactor_op2Sq_le	theorem	public	NumStability.Source.Higham.Chapter10.Equation07.AbsoluteFactorNorm.Bridge	relocated
NumStability.Algorithms.Ch10Ch14Lemma66Op2Bridge	NumStability.Lemma66Op2Bridge.lemma66c_ch14_residual_op2_le_sqrt_card	theorem	public	NumStability.Source.Higham.Chapter14.Section03.ResidualOperatorTwoNorm.Bridge	relocated
NumStability.Algorithms.Ch10Ch14Lemma66Op2Bridge	NumStability.Lemma66Op2Bridge.lemma66c_rank_le_card	theorem	public	NumStability.Source.Higham.Chapter06.Lemma06.OperatorTwoNormBound.Bridge	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.PivotSize	inductive	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.PivotSize.casesOn	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
NumStability.Algorithms.Cholesky.CholeskyIndefinite	NumStability.PivotSize.ctorElim	definition	public	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.ErrorAnalysis.BlockLDLT	relocated
