format	1
NumStability.Ch11Closure.Aasen118Reduced.higham11_8_aasen_normwise_backward_error_of_reduced	NumStability.Algorithms.Cholesky.Aasen118ReducedCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.ReducedResidual	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.higham11_8_aasen_backward_error_direct_of_actual_dgttrs_source_residual	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.higham11_8_actual_dgttrs_old_factor_forward_interface_not_derivable	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.higham11_8_actual_dgttrs_operational_middle_budget	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.higham11_8_actual_dgttrs_sparse_operational_middle_budget	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
_private.<module>.NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsSolutionSq_pos_of_ne_zero	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	private
_private.<module>.NumStability.Ch11Closure.AasenAdjacentOperational.fp_fl_mul_zero_right	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	private
NumStability.Ch11Closure.AasenAdjacentOperational.higham11_8_arbitrary_matrix_source_residual_not_derivable	NumStability.Algorithms.Cholesky.AasenAdjacentPivotResidualDomainCh11Discrepancy	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.ResidualDomain	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.residualDomainCounterFP	NumStability.Algorithms.Cholesky.AasenAdjacentPivotResidualDomainCh11Discrepancy	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.ResidualDomain	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.residualDomainCounterT	NumStability.Algorithms.Cholesky.AasenAdjacentPivotResidualDomainCh11Discrepancy	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.ResidualDomain	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.residualDomainCounterT_not_tridiagonal	NumStability.Algorithms.Cholesky.AasenAdjacentPivotResidualDomainCh11Discrepancy	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.ResidualDomain	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.residualDomainCounterT_symm	NumStability.Algorithms.Cholesky.AasenAdjacentPivotResidualDomainCh11Discrepancy	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.ResidualDomain	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.residualDomainCounterZ	NumStability.Algorithms.Cholesky.AasenAdjacentPivotResidualDomainCh11Discrepancy	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.ResidualDomain	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.residualDomainCounter_gammaValid	NumStability.Algorithms.Cholesky.AasenAdjacentPivotResidualDomainCh11Discrepancy	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.ResidualDomain	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.residualDomainCounter_noBreakdown	NumStability.Algorithms.Cholesky.AasenAdjacentPivotResidualDomainCh11Discrepancy	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.ResidualDomain	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.residualDomainCounter_solution	NumStability.Algorithms.Cholesky.AasenAdjacentPivotResidualDomainCh11Discrepancy	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.ResidualDomain	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.residualDomainCounter_sourceResidual_zero	NumStability.Algorithms.Cholesky.AasenAdjacentPivotResidualDomainCh11Discrepancy	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.ResidualDomain	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsOptimalBackwardError	NumStability.Algorithms.Cholesky.AasenAdjacentPivotSourceResidualCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.SourceResidual	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsOptimalBackwardError_le_infNorm_of_exact_correction	NumStability.Algorithms.Cholesky.AasenAdjacentPivotSourceResidualCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.SourceResidual	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsSourceResidualVector	NumStability.Algorithms.Cholesky.AasenAdjacentPivotSourceResidualCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.SourceResidual	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsSparseResidualBudget_infNorm_eq_correction_infNorm	NumStability.Algorithms.Cholesky.AasenAdjacentPivotSourceResidualCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.SourceResidual	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsSparseResidualBudget_infNorm_eq_optimalBackwardError	NumStability.Algorithms.Cholesky.AasenAdjacentPivotSourceResidualCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.SourceResidual	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsSparseResidualBudget_row_sum_eq	NumStability.Algorithms.Cholesky.AasenAdjacentPivotSourceResidualCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.SourceResidual	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsSparseResidualCorrection_is_infNorm_minimal	NumStability.Algorithms.Cholesky.AasenAdjacentPivotSourceResidualCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.SourceResidual	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.higham11_8_aasen_backward_error_direct_actual_dgttrs_corrected	NumStability.Algorithms.Cholesky.AasenAdjacentPivotSourceResidualCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.SourceResidual	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.higham11_8_aasen_backward_error_direct_of_actual_dgttrs_optimal_error	NumStability.Algorithms.Cholesky.AasenAdjacentPivotSourceResidualCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.SourceResidual	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.higham11_8_actual_dgttrs_optimal_operational_middle	NumStability.Algorithms.Cholesky.AasenAdjacentPivotSourceResidualCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.SourceResidual	theorem	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	inductive	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.casesOn	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.ctorIdx	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.d	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.dl	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.du	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.du2	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.ipiv	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.mk	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	constructor	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.mk.inj	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	theorem	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.mk.injEq	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	theorem	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.mk.noConfusion	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.mk.sizeOf_spec	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	theorem	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.noConfusion	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.noConfusionType	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.perm	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.rec	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	recursor	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFData.recOn	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFFactorForwardCertificate	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFNoBreakdown	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.DGTTRFStepPivotsNonzero	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.dgttrfFactorResidual	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.dgttrfFactorResidual_equation	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	theorem	public
NumStability.Ch11Closure.AasenAdjacentGEPP.dgttrfInit	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.dgttrfL	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	definition	public
NumStability.Ch11Closure.AasenAdjacentGEPP.dgttrfL_bandwidth_one	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	theorem	public
NumStability.Ch11Closure.AasenAdjacentGEPP.dgttrfL_diag	NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.TridiagonalExecutor	theorem	public
