format	1
NumStability.Analysis.MatrixNorms	NumStability.Analysis.MatrixNorms.Basic
NumStability.Analysis.MatrixNorms	NumStability.Analysis.MatrixNorms.Comparisons
NumStability.Analysis.MatrixNorms	NumStability.Analysis.MatrixNorms.EntrywiseMaximum
NumStability.Analysis.MatrixNorms	NumStability.Analysis.MatrixNorms.Hadamard
NumStability.Analysis.MatrixNorms	NumStability.Analysis.MatrixNorms.Lp
NumStability.Analysis.MatrixNorms	NumStability.Analysis.MatrixNorms.SpectralRadius
NumStability.Analysis.MatrixNorms	NumStability.Analysis.MatrixNorms.UnitarilyInvariant
NumStability.Source.Higham.Chapter13	NumStability.Source.Higham.Chapter13.BlockLU
NumStability.Source.Higham.Chapter13	NumStability.Source.Higham.Chapter13.DemmelSharpMultiplier
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Algorithm01
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Algorithm03
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Algorithm04
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation01
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation02
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation03
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation18
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation19
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation20
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation21
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation22
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation23
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation23.PointRowGrowth
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation24
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation25
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation25.Factorization
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation25.Families
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Equation26
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Lemma09
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Lemma10.ConditionNumber
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Lemma10.SchurComplement
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem01
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem02
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem03
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.ActiveStageBounds
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.ActiveStageProducts
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.ActiveTailProducts
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.BlockInverseBounds
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.ComparisonChains
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.DeterminantChainProducts
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.FactorizationExistence
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts.ComparisonUpdates
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts.DeterminantBounds
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts.InverseBounds
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts.LocalComparisons
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts.LowerBlockBudgets
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauChain
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauGrowth
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauProducts.ActiveSuffix
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauProducts.DiagonalUpdate
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauProducts.TailChain
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.HistoryEnvelope
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.InfNormGrowth
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.InverseRatioChain
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.LocalGrowth
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.LocalNormBounds
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.LowerComparisonChain
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.MatrixStageHistory
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.MatrixStages
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.OneStepProducts
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.ProductBounds
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.RecursiveBudgetChains
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem04.StageHistory
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem05
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem06
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem07
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem08
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Problem09
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Section01.NormConventions
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Section01.OperationModelFamilies
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Section01.OperationModels
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Section01.StandardFactorization
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Section03.ArbitraryNormDominance
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Section03.ColumnDominanceClosure
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Section03.RowDominanceClosure
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Section03.SPDFactorBounds
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Section03.SchurStageAnalysis
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Table01
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Table01.Families
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Theorem02.Factorization
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Theorem02.VaryingBlocks
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Theorem05.ErrorAnalysis
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Theorem05.FamilyErrorAnalysis
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Theorem05.Recurrences
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Theorem06.AssumptionModel
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Theorem06.Computation
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Theorem06.FactorAndSolve
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Theorem07.OneStep
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Theorem07.PivotExistence
NumStability.Source.Higham.Chapter13.BlockLU	NumStability.Source.Higham.Chapter13.Theorem08.OneStep
NumStability.Source.Higham.Chapter13.Lemma10	NumStability.Source.Higham.Chapter13.Lemma10.ConditionNumber
NumStability.Source.Higham.Chapter13.Lemma10	NumStability.Source.Higham.Chapter13.Lemma10.SchurComplement
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.ActiveStageBounds
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.ActiveStageProducts
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.ActiveTailProducts
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.BlockInverseBounds
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.ComparisonChains
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.DeterminantChainProducts
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.FactorizationExistence
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauChain
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauGrowth
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauProducts
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.HistoryEnvelope
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.InfNormGrowth
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.InverseRatioChain
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.LocalGrowth
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.LocalNormBounds
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.LowerComparisonChain
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.MatrixStageHistory
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.MatrixStages
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.OneStepProducts
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.ProductBounds
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.RecursiveBudgetChains
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge
NumStability.Source.Higham.Chapter13.Problem04	NumStability.Source.Higham.Chapter13.Problem04.StageHistory
NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts	NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts.ComparisonUpdates
NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts	NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts.DeterminantBounds
NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts	NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts.InverseBounds
NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts	NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts.LocalComparisons
NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts	NumStability.Source.Higham.Chapter13.Problem04.FactorizationProducts.LowerBlockBudgets
NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauProducts	NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauProducts.ActiveSuffix
NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauProducts	NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauProducts.DiagonalUpdate
NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauProducts	NumStability.Source.Higham.Chapter13.Problem04.GlobalTableauProducts.TailChain
NumStability.Source.Higham.Chapter13.Section01	NumStability.Source.Higham.Chapter13.Section01.NormConventions
NumStability.Source.Higham.Chapter13.Section01	NumStability.Source.Higham.Chapter13.Section01.OperationModelFamilies
NumStability.Source.Higham.Chapter13.Section01	NumStability.Source.Higham.Chapter13.Section01.OperationModels
NumStability.Source.Higham.Chapter13.Section01	NumStability.Source.Higham.Chapter13.Section01.StandardFactorization
NumStability.Source.Higham.Chapter13.Section03	NumStability.Source.Higham.Chapter13.Section03.ArbitraryNormDominance
NumStability.Source.Higham.Chapter13.Section03	NumStability.Source.Higham.Chapter13.Section03.ColumnDominanceClosure
NumStability.Source.Higham.Chapter13.Section03	NumStability.Source.Higham.Chapter13.Section03.RowDominanceClosure
NumStability.Source.Higham.Chapter13.Section03	NumStability.Source.Higham.Chapter13.Section03.SPDFactorBounds
NumStability.Source.Higham.Chapter13.Section03	NumStability.Source.Higham.Chapter13.Section03.SchurStageAnalysis
NumStability.Source.Higham.Chapter13.Theorem02	NumStability.Source.Higham.Chapter13.Theorem02.Factorization
NumStability.Source.Higham.Chapter13.Theorem02	NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness
NumStability.Source.Higham.Chapter13.Theorem02	NumStability.Source.Higham.Chapter13.Theorem02.VaryingBlocks
NumStability.Source.Higham.Chapter13.Theorem05	NumStability.Source.Higham.Chapter13.Theorem05.ErrorAnalysis
NumStability.Source.Higham.Chapter13.Theorem05	NumStability.Source.Higham.Chapter13.Theorem05.FamilyErrorAnalysis
NumStability.Source.Higham.Chapter13.Theorem05	NumStability.Source.Higham.Chapter13.Theorem05.Recurrences
NumStability.Source.Higham.Chapter13.Theorem06	NumStability.Source.Higham.Chapter13.Theorem06.AssumptionModel
NumStability.Source.Higham.Chapter13.Theorem06	NumStability.Source.Higham.Chapter13.Theorem06.Computation
NumStability.Source.Higham.Chapter13.Theorem06	NumStability.Source.Higham.Chapter13.Theorem06.FactorAndSolve
NumStability.Source.Higham.Chapter13.Theorem07	NumStability.Source.Higham.Chapter13.Theorem07.OneStep
NumStability.Source.Higham.Chapter13.Theorem07	NumStability.Source.Higham.Chapter13.Theorem07.PivotExistence
NumStability.Source.Higham.Chapter13.Theorem08	NumStability.Source.Higham.Chapter13.Theorem08.OneStep
